Precip,Pot_ET,Strmflw
4.83,3.55,22.22
0,3.96,26.86
0,0.98,19.83
0.13,1.41,11.52
1.81,1.28,4.92
0.77,1.87,3.35
2.25,5.69,2.64
0,5.55,2.01
0,2.4,1.63
0,1.55,1.42
20.96,0.62,1.29
8.17,2.02,1.78
10.32,0.97,2.64
0.26,4.2,3.67
0,5.06,3.84
0,3.86,3.2
0,5.13,2.13
0,5.35,1.37
0,5.98,1.14
0,3.7,1.03
5.14,1.12,0.94
7.05,0.65,0.94
11.95,0.37,1.08
0,1.57,1.34
0,3.43,1.82
0,5.55,1.39
0.17,1.97,1.1
16.06,1.03,1.1
6.17,1.74,1.47
12.1,1.87,1.63
19.09,1.81,1.76
56.68,1.45,5.92
5.5,1.68,15.69
0,5.63,13.68
0,5.69,11.18
0,5.88,7.26
0,6.72,3.43
0,5.73,2.38
0,6.21,1.63
5.13,3.34,1.19
0,3.62,1.14
0,6,0.94
0,4.93,0.86
0,6.23,0.79
0,5.88,0.73
0,6.24,0.68
0,6.51,0.64
0,5.78,0.62
0,5.64,0.58
0,6.42,0.56
0,3.55,0.53
0,3.27,0.51
0,4.48,0.49
0,3.08,0.47
0.92,3.98,0.45
0,6.28,0.44
0,2.12,0.42
1.43,4.3,0.41
23.68,1,0.73
24.41,1.18,1.18
15.02,2.56,1.32
0.17,1.88,2.07
16.01,3.78,1.37
0,6.92,3.16
0,7.35,1.91
0,6.67,1.47
0,7.15,1.28
0,7.35,1.12
0.71,6.43,0.7
19.82,3.83,0.6
3.02,4.34,0.75
13.81,1.93,0.83
9.91,1.63,1.23
28.74,1.89,1.91
1.06,2.59,2.9
0.77,1.9,2.82
5.95,2.11,2.76
0,7.49,2.01
0,7.11,1.14
0,4.43,0.77
0.31,2.36,0.64
10.06,5.08,0.58
0.25,2.5,0.64
22.6,3.69,0.6
6.22,3.29,0.77
10.77,2.22,0.97
0,4.5,1.39
0,5.28,1.01
0.86,5.04,0.81
0,5.34,0.62
0,5.3,0.51
11.77,3.6,0.47
0.61,4.7,0.51
5.51,4.76,0.49
9.89,1.48,0.49
0,4.31,0.62
1.34,5.51,0.55
0,5.77,0.47
1.54,5.52,0.41
0,4.91,0.38
0,6.04,0.35
9.47,3.19,0.33
2.69,2.73,0.33
27.45,2.88,0.35
2.4,2.54,0.92
0.18,2.6,0.92
15.93,0.71,0.73
33.02,0.72,0.97
3.69,0.96,2.26
0,3.51,1.95
0,4.46,1.52
0.37,5.45,1.12
5.31,3.27,0.66
3.07,3.48,0.53
31.02,1.48,0.55
49.77,2.29,0.97
3.67,2.4,6.2
0.14,5.69,6.24
6.8,2.69,5.32
0,4.56,4.62
0.54,6.01,3.13
21.93,4.65,2.45
10.65,3.36,1.82
9,1.05,1.63
0,3.41,2.9
0.96,4.72,1.76
0.84,3.64,1.16
0,3.24,0.83
0.38,4.09,0.72
7.14,3.12,0.6
0,3.99,0.88
1.31,4.9,0.72
0,5.92,0.56
0.13,5.94,0.48
13.52,5.07,0.46
5.81,3.58,0.73
0.46,4.6,1.19
10.23,4.01,1.88
3.02,2.22,2.45
0.71,2.51,2.64
7.44,3.4,1.49
7.9,4.38,1.88
0,5.89,1.76
0,2.77,1.57
0.91,3.26,1.29
0.99,3.04,0.97
2.35,3.77,0.7
0,4.52,0.58
1.05,3.95,0.51
1.36,5.76,0.46
0,5.91,0.42
14.12,5.28,0.4
6.64,4.61,0.79
0,3.7,0.83
0.13,4.63,0.68
0,6.41,0.49
2.76,2.27,0.39
68.22,0.78,0.57
1.28,2.46,4.22
0,1.54,3.67
0,4.87,3.43
7.58,4.57,2.64
0.01,3.71,1.69
0.57,5.31,1.37
0,2.51,1.29
4.25,4.72,1.12
13.25,1.27,0.83
0,2.42,2.03
0.08,2.75,1.12
1.21,3.74,0.72
1.75,2.71,0.56
9.91,2.42,0.53
3.45,2.98,0.56
0,4.85,0.56
4.56,2.05,0.51
0,1.14,0.49
0.77,5.33,0.47
0,4.72,0.41
0,3.93,0.37
0,4.77,0.35
0,2.03,0.33
1.6,3.52,0.32
0,4.99,0.32
0,4.69,0.3
1.14,1.63,0.3
3.74,0.72,0.3
3.58,0.81,0.32
0.82,0.83,0.35
6.36,2.2,0.35
0,3.68,0.38
0,2.29,0.36
0,0.63,0.34
0.57,1.78,0.33
0,3.52,0.32
0,3.62,0.31
0,2.23,0.3
1.6,1.14,0.29
1.29,1.99,0.46
23.25,0.51,0.43
0,1.27,0.69
2.05,3.72,0.58
0,1.22,0.46
0,3.62,0.37
0,2.69,0.34
0,1.78,0.32
0,1.98,0.3
0,3.1,0.3
0,2.34,0.29
16.18,0.6,0.28
0,2.51,0.3
0,3.07,0.35
0,0.47,0.34
1.7,0.86,0.33
20.43,0.74,0.32
4.45,0.48,0.38
0,2.7,0.53
0,3.02,0.53
0,2.89,0.46
0,2.57,0.4
0,2.94,0.35
0,2.5,0.32
0,2.5,0.3
0,2.22,0.29
0,2.72,0.29
0,2.03,0.29
0,2.56,0.28
2.26,0.75,0.27
0.2,2.09,0.27
0,2.44,0.27
0,2.68,0.27
0,2.87,0.25
0,2.59,0.25
0,2.18,0.24
0,2.51,0.23
0,2.64,0.23
0,3.29,0.23
0,1.61,0.22
0,0.76,0.21
1.82,1.16,0.21
0,3.15,0.21
0.65,2.56,0.22
0,1.43,0.23
0,1.45,0.23
0,1.59,0.24
0,3.19,0.24
0,2.21,0.25
0.28,1.09,0.25
0.19,1.96,0.26
4.91,0.7,0.26
0,1.73,0.27
2.26,1.07,0.28
4.49,0.71,0.31
0,1.61,0.34
4.73,1.02,0.34
4.21,0.31,0.33
0.98,0.98,0.34
7.62,1.06,0.37
10.29,0.37,0.4
12.32,0.26,0.56
0,0.94,0.84
0,1.46,1.17
22.18,0.64,1.09
1.12,0.5,1
0,0.94,1.48
0,1.31,1.63
2.51,1.28,1.57
13.89,0.43,1.27
0,1.56,1.07
0,1.56,0.96
0,1.09,0.94
0.92,0.31,0.84
8.98,0.29,0.72
0,2.05,0.74
0,1.7,0.92
0,1.63,0.84
1.41,1.39,0.72
3.06,0.69,0.63
0,0.89,0.58
0.08,1.45,0.54
15.27,0.67,0.53
111.33,0.57,0.61
67.83,0.28,6.59
0,1.58,28.12
0,1.07,45.94
2.06,0.98,39.04
9.12,0.54,18.2
6.21,0.13,7.03
2.61,0.77,5.82
3.99,1.37,5.02
1.7,0.41,4.12
3.28,0.79,3.43
14.21,0.27,3.58
0,0.32,3.93
0.08,1.03,3.2
0.57,0.64,2.82
0,0.26,2.45
0,0.27,2.01
0.57,1.11,1.69
0.38,1.45,1.53
2.27,1.89,1.42
2.17,1.73,1.34
26.29,1.73,1.88
2.58,0.13,2.69
0,0.47,3.67
2.13,1.09,3.67
0,1.89,3.2
0.89,1.7,2.64
1.89,1.78,2.26
16.15,0.58,1.82
0,1.35,2.7
2.84,1.21,3.58
0,2.42,3.58
0.95,1.67,2.9
0,1.05,2.32
0,1.2,1.95
17.96,0.46,1.63
21.42,0.24,4.02
0.03,0.56,5.42
3.65,1.44,5.02
122.55,0.53,7.83
6.56,0.62,24.23
0,2.59,28.62
0,2.63,30.88
0,2.44,19.33
0,2.7,6.58
0,2.59,3.84
0,2.76,2.97
1.65,2,2.32
22.69,0.72,2.13
0,2.62,3.05
0,2.81,3.13
0,2.46,3.2
0.6,3.14,2.51
0,2.76,1.95
0.18,1.64,1.53
13.59,2.97,1.63
1.04,2.59,2.01
11.67,0.6,2.01
14.4,0.19,2.97
1.07,0.26,3.5
4.26,0.19,3.43
5.44,2.3,3.28
0,4.43,2.97
0,2.67,2.82
0.15,3.3,2.57
0,2.78,2.01
1.93,1.64,1.53
32.45,0.69,1.63
0,3.31,3.67
13.36,0.48,5.22
0,1.63,8.05
0,3.2,5.52
0.47,4.22,3.67
10.63,1.36,2.9
0.14,2.96,2.64
2.67,1.07,2.57
0,5.19,2.45
1.21,4.59,2.07
0.54,2.79,1.63
0,2.39,1.32
0,2.16,1.19
27.48,2.35,1.47
0.01,3.97,2.51
0,5.63,2.51
0,4.18,2.26
1.63,1.96,1.69
7.33,0.42,1.22
0,2.6,1.24
0.34,2.12,1.24
0.21,1.15,1.14
0.6,5.16,1.02
0,4.39,0.92
0,3.69,0.84
0.2,4.85,0.78
0,4.33,0.72
0,3.29,0.7
10.76,3.82,0.8
0,2.6,0.92
0,2.06,0.76
0,5.09,0.69
0,4.85,0.63
0,4.03,0.6
5.42,1.03,0.6
4.44,2.21,0.63
0,3.06,0.65
0,6.05,0.63
0,5.42,0.6
0,4.21,0.56
0,4.35,0.53
5.88,2.48,0.51
4.91,2.02,0.51
0,5.29,0.56
1.15,2.41,0.53
11.14,2.37,0.53
10.95,1.05,0.58
17.47,1.34,0.96
38.9,0.56,1.44
50.29,0.89,4.62
0,2.05,8.27
0,2.22,8.84
0,3.59,11.18
0,3.05,6.35
0,2.88,2.76
0,3.6,2.01
0,3.09,1.24
0,4,0.9
1.62,2.12,0.78
6.51,1.67,0.7
13.3,0.57,0.72
0,3.42,0.88
5.5,3.13,0.92
0,5.78,0.86
0,5.82,0.72
0,4.1,0.63
1.99,5.15,0.54
4.69,3.3,0.53
4.17,1.62,0.56
0.87,3.8,0.54
0,4.31,0.51
0,5.52,0.48
0,5.54,0.46
0,5.32,0.48
0,3.06,0.41
0,2.33,0.4
0,6.12,0.38
8.22,2.73,0.38
0,5.52,0.41
13.35,1.79,0.38
25.09,1.03,0.44
8.34,1.33,0.88
0.53,2.04,0.94
0,5.12,1.09
1.85,1.25,0.92
9.06,1.99,0.9
5.5,3.87,1.17
0,3.55,1.19
2.39,2.76,1
0,3.83,0.8
0,7.34,0.6
0,7.48,0.49
0,6.62,0.43
0,6.69,0.38
0,7.15,0.36
0,6.61,0.34
0.04,6.45,0.32
0.01,4.17,0.31
24.56,1.35,0.33
14.69,2.44,0.46
0,3.58,0.53
0,5.19,0.43
0,7.95,0.38
0,7.02,0.34
0,6.34,0.32
0,6.46,0.29
0.66,7.53,0.27
0,6.06,0.26
0,5.3,0.25
0,7.8,0.24
3.36,3.96,0.23
0,5.35,0.26
1.64,4.5,0.24
7.39,3.93,0.23
13.54,2.01,0.24
1.12,3.55,0.26
0,5.59,0.25
0,6.74,0.24
0.44,4.06,0.22
3.22,3.38,0.22
0.04,1.27,0.22
28.06,4.22,0.22
46.49,1.56,0.24
8.78,1.75,0.48
3.6,3.64,0.61
2.42,4.12,0.63
0,5.23,0.61
0,6.24,0.48
0,7.28,0.34
7.89,5.35,0.29
8.04,5.48,0.32
0,5.15,0.34
30.43,4.41,0.32
2.99,2.27,0.29
11.57,1.33,0.34
27.35,2.23,0.41
9.23,1.31,1.63
25.22,1.4,1.46
0.84,2.01,2.32
0,3.74,2.07
0,6.82,1.69
0.04,7.1,1.34
3.38,4.57,0.78
0,6.3,0.51
0.02,2.77,0.4
0,5.91,0.33
0,7.15,0.3
0,5.18,0.27
0.08,3.91,0.26
9.11,4.19,0.26
0,4.32,0.29
0,5.7,0.25
0,5.55,0.25
0.02,4.96,0.25
0.76,5.7,0.23
7.99,2.69,0.22
11.05,4.56,0.22
5.42,5.31,0.28
5.72,1.78,0.31
0,2.48,0.33
0,6.37,0.31
0,5.51,0.27
0,6.19,0.23
0,5.9,0.21
7.81,3.52,0.2
5.99,3.37,0.2
1.88,5.63,0.26
0.35,4.33,0.3
14.63,2.6,0.27
6.84,1.13,0.25
3.2,2.54,0.28
18.3,3.25,0.31
18.05,1.1,0.41
0,5.3,0.86
0,4.86,0.84
0.39,4.24,0.7
0,6.25,0.4
6.86,1.38,0.3
0,1.66,0.28
0.44,1.77,0.27
0,4.02,0.25
3.68,3.65,0.24
0,5.46,0.23
1.23,1.61,0.22
0,1.39,0.21
0,2.35,0.2
0,1.99,0.2
1.8,1.94,0.2
0.15,4.87,0.19
0,2.79,0.19
2.12,4.75,0.21
0,2.22,0.23
0.13,2.72,0.19
0,2.3,0.18
0,4.31,0.17
0,2.6,0.17
0,1.44,0.16
19.27,0.9,0.17
6.1,1.34,0.23
0,1.09,0.23
0,1.04,0.22
0.67,1.43,0.21
0,3.45,0.2
0,4.63,0.2
0,1.67,0.19
0,4.58,0.18
0.54,4.52,0.18
0,3.8,0.17
0.81,1.25,0.17
0,4.14,0.17
0,3.97,0.17
0,4.32,0.16
0,4.82,0.16
0,4.42,0.15
0,4.48,0.15
0,4.5,0.15
0,4.78,0.15
1.8,3.14,0.15
19.04,1.01,0.16
0.97,1.76,0.21
3.4,1.16,0.22
5.48,0.44,0.21
0.04,1.94,0.21
0,2.59,0.21
0,2.98,0.19
0,2.98,0.18
0,3.69,0.18
0,3.81,0.17
0,1.36,0.17
0,3.08,0.17
0,2.88,0.16
0,3.04,0.16
0,3.15,0.16
8.26,2.56,0.16
19.78,0.36,0.17
0.59,0.75,0.46
0,2.31,0.48
0,2.89,0.37
0,2.95,0.3
0,2.7,0.26
0.47,1.65,0.24
0.13,1.13,0.22
0.08,1.68,0.21
0,2.1,0.2
0,2.16,0.19
1.07,2.19,0.19
0,1.87,0.19
0.28,0.45,0.19
0,1.91,0.19
0,1.69,0.19
0,1.85,0.19
22.42,1.18,0.2
0,2.19,0.27
0,1.78,0.32
0,2.18,0.27
3.38,1.19,0.25
0.09,1.53,0.23
0,1.91,0.22
0,2.28,0.21
0,1.83,0.2
0,1.55,0.2
0,1.59,0.2
0,2.07,0.2
1.72,0.99,0.2
30.99,0.47,0.27
0.23,0.77,0.46
29.74,0.91,0.5
3.42,0.14,0.96
0.02,1.07,1.19
2.15,0.62,1.02
0,1.44,0.94
0,2.75,0.7
0,0.66,0.48
0,1.4,0.39
5.94,0.76,0.35
16.59,0.13,0.35
0.15,0.09,0.5
0,0.39,1.48
0,1.83,1.51
0,1.33,1.12
0.13,1.2,0.67
0,0.84,0.48
0.07,0.51,0.4
0,1.14,0.37
0,1.41,0.34
0.81,1.28,0.33
0,1.67,0.31
5.2,0.53,0.3
3.01,0.67,0.32
13.95,0.02,0.34
0,0.03,0.56
0.6,0.22,0.74
0.3,1.29,0.94
2.84,0.63,0.82
1.16,0.8,0.61
34.21,0.26,0.61
0,1.48,1.86
0,1.69,2.38
24.17,0.68,2.76
0.33,1.13,3.05
0,1.33,2.64
0,1.45,2.13
6.57,0.67,1.69
0,1.38,1.22
1.44,0.88,0.9
0,0.87,0.76
11.25,0.6,0.72
0,2.55,0.92
0,1.89,1.05
0.64,1.35,1.07
22.45,1.19,1.02
0,1.53,1.57
0,1.41,1.88
0,2.23,1.82
0,1.36,1.27
9.45,0.7,0.86
0.07,2.12,0.78
0,1.52,0.76
0,1.88,0.74
0,1.83,0.74
0.19,1.68,0.63
25.33,0.08,0.58
0.32,0.03,1.37
39.89,0.01,1.95
8.88,0.34,6.02
4.71,0.84,6.46
3.63,0.97,6.13
0,0.98,6.24
0,0.86,3.67
42.56,0.7,2.69
0,2,5.72
0,2.13,6.24
15.86,0.45,6.69
0,0.26,7.37
0,1.77,4.72
0,1.54,3.28
7.65,1.16,2.64
0,1.95,2.2
22.7,0.58,1.82
0.14,1.63,3.13
0,1.45,3.43
5.02,1.53,3.43
1.26,1.6,2.9
7.19,1.05,2.26
0,3.57,2.01
0,2.34,1.69
0,1.85,1.42
0,2.22,1.17
0,2.31,0.98
0,1.88,0.88
0,1.85,0.82
0,1.81,0.76
0,1.33,0.72
0,2.34,0.69
0.85,2.08,0.65
12.03,0.99,0.63
0,0.92,0.61
0,2.22,0.76
0,2.1,0.9
0.08,2.3,0.78
0.04,2.6,0.69
0,2.29,0.61
8.85,1.17,0.56
4.26,0.57,0.69
0,1.09,0.69
0.44,2.66,0.63
0,3.12,0.6
0,3.21,0.55
29.74,2.01,0.51
40.93,0.46,1.66
8.94,0.67,6.02
0.41,0.64,5.92
0,3.64,6.13
0,4.17,5.42
0,2.58,3.2
0.47,3.11,2.13
0,2.19,1.51
0,1.98,1.05
50.41,1.19,0.9
79.13,0.42,3.1
0.73,2.32,13.43
0.4,4.52,21.09
0,4.93,27.11
0,3.14,19.33
0.14,2.03,5.94
0,3.29,2.97
0,4.67,2.32
0,1.86,1.63
4.7,0.6,1.32
18.69,1.78,1.29
0,4.7,2.2
0,2.27,2.26
0,4.6,2.01
7.44,1.21,1.63
0,4.74,1.37
0,5.48,1.14
0,6.14,0.98
0.09,5.13,0.88
3.73,4.44,0.8
0,4.8,0.8
4.09,2.53,0.74
12.28,3.71,0.82
0,4.22,1.17
30.02,1.26,1.31
0,2.86,4.27
0.47,5.76,3.75
0,6.15,4.62
0,2.92,3.49
0,2.77,1.82
0,3.8,1.37
0,4.25,0.94
0,2.57,0.7
0,4.42,0.61
0,5.57,0.56
0,3.11,0.5
5.35,3.79,0.46
0.04,6.1,0.51
0,6.29,0.55
0,1.83,0.5
0.59,4.14,0.43
0,2.69,0.4
0,2.9,0.37
7.95,1.61,0.37
0,3.4,0.37
0,4.13,0.37
0,6.1,0.34
0,7.02,0.32
0,6.93,0.3
0,6.19,0.28
0,6.77,0.27
0,6.12,0.26
0,6.56,0.25
0,4.73,0.25
0,5.9,0.24
0,4.06,0.23
0,4.19,0.22
0,4.72,0.21
0,3.6,0.21
0,5.16,0.2
0,8.14,0.2
0,6.15,0.19
0,6.32,0.19
0,6.12,0.18
0,7.06,0.18
2.89,5.93,0.17
0,3.18,0.17
0,7.93,0.16
7.1,3.12,0.17
0,3.96,0.19
0,5.95,0.19
0,5.4,0.18
0,5.8,0.17
14.39,5.48,0.16
11.86,4.07,0.25
0,4.93,0.45
0.25,3.09,0.4
4.12,3.73,0.32
17.6,2.63,0.27
1.72,1.8,0.31
13.59,1.92,0.61
1.87,2.66,0.82
0.78,4.48,0.9
0,3.91,0.76
0.57,3.11,0.55
0,4.77,0.37
0,6.87,0.31
0.4,6.57,0.28
2.15,6.4,0.26
4.21,5.82,0.27
0,6.62,0.31
1.13,6.65,0.26
0,4.84,0.25
6.12,3.38,0.28
3.54,2.84,0.27
11.87,3.15,0.25
16.93,1.83,0.42
0,4.1,0.63
0,5.46,0.6
0,5.87,0.4
0.49,6.77,0.32
0.17,5.9,0.31
0.02,6.43,0.31
12.58,5.21,0.43
0,7.03,0.43
0.04,7.18,0.35
0,6.71,0.28
18.65,3.36,0.29
0.74,5.7,0.37
0,6.49,0.4
0,5.85,0.36
1.81,7.74,0.32
0,7.46,0.32
0.3,5.59,0.25
0,7.19,0.25
0,6.8,0.26
4.6,4.22,0.2
0.71,4.2,0.2
0.06,4.13,0.2
0,4.32,0.19
0.04,5.18,0.19
10.11,2.79,0.2
9.69,1.95,0.2
0.55,3.32,0.43
0,5.41,0.42
4.11,5.33,0.29
0,6.07,0.23
2.25,5.95,0.21
0.53,5.37,0.19
0,7.36,0.18
0,7.76,0.17
0,6.81,0.16
0.3,6,0.15
0.64,3.56,0.15
0,6.35,0.14
0,6.42,0.14
0,6.98,0.14
0,7.54,0.13
0,7.48,0.13
0,7.56,0.13
1.81,6.35,0.12
0,6.76,0.12
3.63,5.92,0.12
0,4.58,0.12
0,6.08,0.12
1.94,6.43,0.13
9.6,5.94,0.13
0.23,3.03,0.12
6.18,7.38,0.16
0.52,7.63,0.15
0,6.34,0.13
0,6.44,0.12
0.88,7.07,0.12
0,6.58,0.12
0,6.59,0.12
0.49,6.93,0.12
8.87,6.73,0.14
13.38,5.2,0.16
2.21,6.74,0.21
0.79,6.11,0.17
1.94,5.62,0.15
9.05,6.03,0.14
7.91,5.19,0.14
0,6.33,0.14
0,6.02,0.14
0,6.45,0.13
7.95,2.7,0.13
0,3.34,0.13
20.34,2.63,0.13
6.33,1.21,0.24
0.54,0.8,0.25
0,4.01,0.2
0,3.42,0.16
0,3.86,0.15
0,5.96,0.14
0,5.65,0.14
5.99,1.85,0.14
11.36,0.99,0.15
4.32,1.27,0.19
0,1.51,0.22
16.74,3.03,0.2
8.42,1.22,0.33
4.85,1.22,0.4
1.55,2.6,0.34
0,4.88,0.26
0,5.45,0.21
0,3.61,0.18
0,4.1,0.17
0,5.08,0.16
0,4.81,0.15
0,4.41,0.15
0,4.64,0.14
0,4.93,0.14
0,2.48,0.14
0,3.6,0.13
0,3.97,0.13
0,4.17,0.13
0,3.89,0.13
0,3.96,0.13
0,4.15,0.13
0,2.46,0.13
0,4.32,0.13
0,4.01,0.13
0,4.17,0.13
0,3.28,0.13
0,3.22,0.12
0,3.7,0.12
0,3.04,0.12
10.4,1.22,0.12
6.73,1.08,0.14
0,2.22,0.14
0.45,1.6,0.14
0,2.38,0.13
4.43,1.37,0.13
0,1.19,0.13
0,1.02,0.14
0,2.1,0.14
9.19,1.55,0.14
17.78,0.33,0.2
0,0.55,0.22
0.19,2.16,0.21
0,2.5,0.18
0,3.07,0.17
5.46,1.04,0.16
0,2.59,0.16
0,2.1,0.16
0,2.18,0.15
0,1.76,0.15
0,2.73,0.15
0,0.95,0.15
0,1.58,0.15
0.7,2.98,0.15
0,1.8,0.15
0.05,1.01,0.14
0,1.62,0.14
0,1.73,0.14
0,1.75,0.14
0,2.03,0.14
0,2.12,0.14
0,1.67,0.14
0,0.92,0.15
0,0.76,0.15
0,1.43,0.15
0,0.89,0.15
16.87,0.77,0.16
0,0.55,0.18
0,1.66,0.19
0,0.73,0.18
0,1.88,0.17
0,0.79,0.17
4.66,0.3,0.17
0,1.78,0.17
9.96,2.7,0.19
0,1.49,0.21
9.6,1.01,0.24
9.89,1.36,0.25
32.89,0.4,0.29
0.38,0.58,0.72
0,1.67,0.82
0.07,1.97,0.69
0.13,0.95,0.46
37.94,0.7,0.42
0,1.88,1.12
0.07,1.36,1.29
2.68,1.43,1.22
13.3,1.72,1.04
15.4,1.35,0.79
28.35,0.32,1.04
0,1.27,2.6
0,1.47,2.75
0,1.63,2.75
0,1.23,2.15
0.82,0.9,1.33
13.64,1.09,1.24
0,1.78,1.29
0,1.57,1.09
0.04,0.78,0.89
0,1.08,0.65
0,1.8,0.51
0,1.57,0.46
0,0.85,0.43
0.14,0.37,0.38
7.2,0.29,0.37
1.76,0.35,0.37
0,0.82,0.4
0,0.98,0.41
0,0.47,0.41
2.19,0.71,0.38
0.03,1.93,0.37
0,0.9,0.36
0,0.82,0.34
0,0.96,0.33
0.32,0.84,0.32
0.02,0.59,0.32
0,0.77,0.32
0,0.92,0.31
0,1.14,0.31
0,0.99,0.3
2.37,1.27,0.3
1.58,1.19,0.31
23.29,1.49,0.33
0,1.91,0.49
0,1.07,0.65
4.08,0.81,0.77
0,1.21,0.77
27.62,0.96,0.51
3.55,1.9,0.88
0,1.76,1.27
0,1.6,1.39
0,1.47,1.17
1.52,0.88,0.79
41.57,0.34,0.92
2.38,2.14,2.6
0.72,0.78,3.21
0.57,2.08,3.65
0,2.22,3.3
0,2.43,2.22
0,2.9,1.17
0,1.5,0.82
0,1.41,0.65
0,1.81,0.57
6.81,1.42,0.53
0,1.39,0.53
1.91,2.44,0.57
10.8,1.82,0.61
1.68,0.58,0.69
0,1.17,0.82
0,1.92,0.87
0,0.98,0.77
11.96,2.27,0.67
0,2.81,0.87
15.74,0.65,0.79
2.41,0.27,1.46
0.06,0.47,1.67
0.27,0.67,1.73
3.08,0.39,1.51
0,2.75,1.14
0,0.97,0.87
0,3.14,0.74
0,1.21,0.65
5.26,0.96,0.57
29.76,0.69,0.73
0,3.04,2.97
0,1.35,3.13
0,3.64,2.9
0,3.81,1.98
0,3.65,1.09
0,1.29,0.77
42.15,0.75,0.77
0,1.83,2.59
0,1.05,3.21
0.2,2.77,3.56
0,1.19,2.9
0,4.05,1.69
0,1.89,1.02
0.35,1.4,0.74
21.04,1.69,0.74
0,3.76,1.58
0,3.21,1.58
0,1.67,1.39
11.52,1.16,1.09
0.27,1.11,1.22
0,3.96,1.07
0,2.16,0.94
0,3.95,0.79
0,4.58,0.63
0,2.66,0.53
0.36,3.55,0.46
0.06,2.27,0.43
